pitcher_id,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
666201,SP,Alek Manoah,24,16,7,0.696,2.24,31,31,0,0,0,0,196.2,144,55,49,16,51,0,180,15,0,5,786,172,3.35,0.992,6.6,0.7,2.3,8.2,3.53
592332,SP,Kevin Gausman,31,12,10,0.545,3.35,31,31,0,0,0,0,174.2,188,72,65,15,28,0,205,1,2,2,725,115,2.38,1.237,9.7,0.8,1.4,10.6,7.32
621244,SP,José Berríos,28,12,7,0.632,5.23,32,32,0,0,0,0,172,199,103,100,29,45,0,149,11,0,3,753,74,4.55,1.419,10.4,1.5,2.4,7.8,3.31
548389,SP,Ross Stripling,32,10,4,0.714,3.01,32,24,2,0,0,1,134.1,117,49,45,12,20,0,111,2,0,0,536,128,3.11,1.02,7.8,0.8,1.3,7.4,5.55
579328,SP,Yusei Kikuchi,31,6,7,0.462,5.19,32,20,4,0,0,1,100.2,93,67,58,23,58,0,124,9,0,3,454,74,5.62,1.5,8.3,2.1,5.2,11.1,2.14
643256,RP,Adam Cimber,31,10,6,0.625,2.8,77,0,15,0,0,4,70.2,66,28,22,6,13,1,58,8,0,1,293,138,3.47,1.118,8.4,0.8,1.7,7.4,4.46
605447,RP,Jordan Romano,29,5,4,0.556,2.11,63,0,52,0,0,36,64,44,18,15,4,21,4,73,4,0,0,258,183,2.82,1.016,6.2,0.6,3,10.3,3.48
670950,RP,Trevor Richards,29,3,2,0.6,5.34,62,4,10,0,0,0,64,57,41,38,9,35,1,82,1,0,3,281,72,4.07,1.438,8,1.3,4.9,11.5,2.34
475479,RP,David Phelps,35,0,2,0,2.83,65,1,11,0,0,1,63.2,52,22,20,2,31,0,64,4,0,3,272,137,3.16,1.304,7.4,0.3,4.4,9,2.06
554340,RP,Yimi García,31,4,5,0.444,3.1,61,0,9,0,0,1,61,48,26,21,6,16,3,58,4,1,1,247,125,3.47,1.049,7.1,0.9,2.4,8.6,3.63
641835,RP,Tim Mayza,30,8,1,0.889,3.14,63,0,9,0,0,2,48.2,42,19,17,7,12,2,44,1,1,2,193,123,3.98,1.11,7.8,1.3,2.2,8.1,3.67
663423,RP,Trent Thornton,28,0,2,0,4.11,32,0,6,0,0,0,46,40,21,21,7,17,0,37,1,0,1,189,94,4.66,1.239,7.8,1.4,3.3,7.2,2.18
669952,RP,Mitch White,27,0,5,0,7.74,10,8,1,0,0,0,43,59,37,37,3,16,0,31,1,0,1,203,50,3.76,1.744,12.3,0.6,3.3,6.5,1.94
547943,SP,Hyun Jin Ryu,35,2,0,1,5.67,6,6,0,0,0,0,27,32,17,17,5,4,0,16,0,0,0,113,69,4.78,1.333,10.7,1.7,1.3,5.3,4
657240,RP,Julian Merryweather,30,0,3,0,6.75,26,1,6,0,0,0,26.2,31,20,20,4,7,1,23,2,0,1,119,58,4.35,1.425,10.5,1.4,2.4,7.8,3.29
542914,RP,Anthony Bass,34,2,0,1,1.75,28,0,5,0,0,0,25.2,19,5,5,5,10,1,28,0,0,1,102,223,4.63,1.13,6.7,1.8,3.5,9.8,2.8
666721,RP,Max Castillo,23,0,0,,3.05,9,2,4,0,0,0,20.2,15,9,7,4,5,0,20,0,0,1,81,129,4.42,0.968,6.5,1.7,2.2,8.7,4
647315,RP,Zach Pop,25,2,0,1,1.89,17,0,2,0,0,0,19,18,4,4,1,2,0,11,1,0,0,74,207,3.11,1.053,8.5,0.5,0.9,5.2,5.5
596271,RP,Casey Lawrence,34,0,1,0,7.5,6,0,2,0,0,0,18,23,15,15,5,4,0,11,1,0,0,79,52,6.33,1.5,11.5,2.5,2,5.5,2.75
676886,RP,Jeremy Beasley,26,0,0,,4.8,9,0,5,0,0,0,15,14,9,8,4,5,0,19,2,0,0,64,82,5.45,1.267,8.4,2.4,3,11.4,3.8
657424,RP,Matt Gage,29,0,1,0,1.38,11,0,5,0,0,0,13,6,4,2,1,6,1,12,1,0,0,50,286,3.88,0.923,4.2,0.7,4.2,8.3,2
607755,RP,Andrew Vasquez,28,0,0,,8.1,9,0,3,0,0,0,6.2,6,6,6,1,3,0,6,3,1,1,32,50,5.96,1.35,8.1,1.4,4.1,8.1,2
607455,RP,Anthony Banda,28,0,1,0,4.26,7,1,2,0,0,0,6.1,7,3,3,1,3,0,7,0,0,0,27,96,4.38,1.579,9.9,1.4,4.3,9.9,2.33
621366,RP,Ryan Borucki,28,0,0,,9.95,11,0,2,0,0,0,6.1,7,7,7,2,5,0,8,1,0,0,33,41,7.53,1.895,9.9,2.8,7.1,11.4,1.6
641672,RP,Thomas Hatch,27,0,1,0,19.29,1,1,0,0,0,0,4.2,12,10,10,3,2,0,4,1,0,0,26,22,11.68,3,23.1,5.8,3.9,7.7,2
489265,RP,Sergio Romo,39,0,1,0,4.91,6,0,2,0,0,0,3.2,1,3,2,1,2,1,3,0,0,0,14,87,6.66,0.818,2.5,2.5,4.9,7.4,1.5
642048,RP,Tayler Saucedo,29,0,0,,13.5,4,0,0,0,0,0,2.2,6,4,4,3,1,0,0,0,0,0,15,33,18.86,2.625,20.3,10.1,3.4,0,0
641743,RP,Anthony Kay,27,0,0,,4.5,1,0,1,0,0,0,2,2,1,1,0,1,0,3,1,0,0,10,102,3.11,1.5,9,0,4.5,13.5,3
656492,RP,Foster Griffin,26,0,0,,0,1,0,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,8,,2.61,1,4.5,0,4.5,9,2
641312,RP,Shaun Anderson,27,0,0,,18,1,0,1,0,0,0,1,4,2,2,0,0,0,0,0,0,0,7,30,3.11,4,36,0,0,0,
593160,RP,Whit Merrifield,33,0,0,,18,1,0,1,0,0,0,1,2,2,2,1,0,0,0,1,0,0,6,30,19.11,2,18,9,0,0,
670102,RP,Bowden Francis,26,0,0,,0,1,0,1,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,3,,0.11,1.5,13.5,0,0,13.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
